DAY,IRRAD,TMIN,TMAX,VAP,WIND,RAIN
20170522,14899.418061893299,1.5715263176723393,11.485391579311965,1.1283957673675027,0.29585453690155905,-4.358262215043096
20170523,14373.465353232681,1.4476036112930368,11.87728795454246,1.106080986195916,0.06896531113510002,-3.8293256786369176
20170524,14732.06687002107,0.9980620490107399,11.791238059541113,1.0876250345941851,0.06968190296102375,-4.496298934602079
20170525,14654.212944266157,1.6572155071953962,10.884942879173389,1.1506754923735474,-0.03958640814849499,-4.179832812275699
20170526,15217.85940372748,2.2455829624968966,12.418241681158165,1.1121720394119392,-0.04227076220473421,-4.101371760684447
20170527,14618.580009376028,2.2414787871861597,11.849954265845547,1.0721204001341573,0.06847583445797344,-4.334372376958076
20170528,14824.91641019712,2.2546701305445565,11.987297637743763,1.0994145217863358,0.27404866371469366,-4.06496933836515
20170529,15481.705730626909,2.1895077840331236,12.15438707254222,1.1095518602950543,0.40060079414715727,-3.994204021407899
20170530,15197.831652186182,1.079983512113254,11.650819179512986,1.098345789358969,0.23747466206027582,-3.898039807272672
20170531,15355.74129979314,1.649908124660147,12.211637273092778,1.09819723863305,0.0747754862905647,-4.073456920126138
20170601,14992.656497160478,1.7354440984496464,12.026262687298084,1.1355273076074934,-0.08343724411902757,-4.299523684864771
20170602,15428.27702920041,1.6049367215426646,11.95566439455825,1.1266623776669014,0.11590181244826876,-3.658978834717742
20170603,14708.038895952943,1.7834716112016542,12.0180427486035,1.1001611934262228,0.08765719949783177,-3.9236872483654373
20170604,15202.01904897103,2.0006549119512096,11.619330789647197,1.1162570274401573,0.276644742142822,-4.080736925410718
20170605,14307.068853459732,1.6835464006624965,11.804575234215541,1.0869123424078568,0.3634839122724703,-3.9866822133000714
20170606,14410.760984052402,2.021207241954097,12.02122926295348,1.1364021672626914,0.2234529430506689,-3.3040858487663307
20170607,14827.185296033387,1.4932822539877175,11.581567020017642,1.1421260872108583,-0.07788442369304296,-4.074898457650806
20170608,15097.919406770563,1.9866625907829825,11.582311513731815,1.1453262788354297,-0.29423881174143274,-3.3866308443193622
20170609,15293.479663622542,2.2091063791234586,11.889818704248668,1.1563441899098623,-0.196505855003096,-3.6134030258158183
20170610,14308.675373931768,2.1426495947232627,11.938826217566142,1.166327761408963,0.1656093117877848,-3.3477799208919343
20170611,14868.30035956533,2.8082667810913815,11.605353801933607,1.1806204264075224,0.04916597084846516,-3.3451777031134307
20170612,14481.880675453636,2.100823732867121,11.870963394394057,1.1947007532886535,0.17600444905257714,-2.379471476813337
20170613,13987.334384316366,2.01186145400823,11.8191952189439,1.20058038896196,-0.00809640417442589,-3.1334464164236047
20170614,14369.24392747808,1.7235004984156332,11.58542642156194,1.2025083840291464,0.12481459456651657,-3.7040459160181505
20170615,14508.53754602379,2.3520167854329714,12.257720827801485,1.2441275512148278,-0.0804532507993601,-3.179982195855165
20170616,14737.63579331222,3.2059248653661547,11.335689029478006,1.25083561493457,-0.16122311732680664,-3.3579967678927414
20170617,14691.075169026035,3.3883703008330146,12.40738828559159,1.2196657836073026,-0.0480435871510159,-3.1101256216823256
20170618,14012.203181193938,3.2527222533459783,12.552224942577816,1.2623231074127268,-0.00029028712042166165,-2.3745316717973597
20170619,14508.974176564705,3.090217081908037,11.739799437639576,1.2641512826451509,0.09840844739604945,-2.6659779444665905
20170620,14208.108479133207,3.0589631760889815,13.100825110048481,1.2854029941331941,-0.04810664661322756,-2.66110820377945
20170621,14367.924218406686,2.8992475711872254,12.711391876292392,1.2873889754511276,-0.12008718980786368,-3.5479016748159538
20170622,14261.233722132041,3.320010737503042,11.780804173647054,1.3466376935033655,-0.0989866111524376,-2.9876561993806474
20170623,14526.90244732952,3.79424050589959,13.29183459267233,1.3582520080131244,-0.051178763622829505,-3.2285820362526656
20170624,14014.949919848932,3.704286568664577,12.931871665204525,1.3204846593072652,0.008321965168600412,-3.793032832623423
20170625,14441.786242433605,3.6883848272477238,13.78553828188234,1.3873212715784766,-0.22297613740063538,-2.980351747309214
20170626,14066.42796501821,3.7330441745038083,13.217992691437104,1.3653460940860285,-0.07167965966657802,-3.3918402503431815
20170627,14267.410066227318,4.1339428567631105,13.845939651595902,1.3550378541305161,-0.27053445533349835,-3.0114290584113226
20170628,14612.15097883742,3.8228492410509314,14.317963123735247,1.3590556147662378,-0.4004859543605459,-3.5491914922777
20170629,14168.653057802263,4.512451391593683,13.968481349411116,1.3723662404885195,-0.24424964580110312,-3.564990981911857
20170630,14231.053203179177,4.700441141345315,13.817550529038371,1.4095011119505947,-0.16897244760173447,-3.034468371091914
20170701,14726.01062857608,4.15698328597421,14.912966219282676,1.3508859830380968,-0.1797803794927885,-3.539875206821064
20170702,13852.67461477441,4.587097224066733,14.871678527141356,1.384019317859955,-0.12406371977088085,-3.1911000829764937
20170703,13524.229816546207,4.747480823989889,14.380705108165674,1.3387675776705679,0.1608893539276855,-3.8676760169900133
20170704,13899.034720481704,4.164349048770702,15.286934205986336,1.3485260526249412,-0.12254176515577075,-3.476643608246778
20170705,13866.810578908662,4.79127057913126,14.552122204449258,1.3202647632994462,-0.08692403138477327,-3.6644798673003587
20170706,13562.81961746336,4.724615716780096,14.903037871822285,1.335403605192095,-0.08563115996541357,-3.1298650148167284
20170707,14405.81752948702,5.293156765331026,14.922082092297646,1.3484233029349555,-0.14748815836096166,-3.2815955949080826
20170708,13631.91831757453,4.853848700678156,15.043424377826476,1.3169381203282737,0.06681757346581225,-3.675008291460468
20170709,13593.255761698414,5.124078554565098,14.735892210820534,1.3211240179360664,-0.06971166679177182,-3.1425205727875607
20170710,13081.742265169773,4.336610555657916,14.536209028676387,1.344890759316107,0.06463697315862126,-3.719304808752409
20170711,13542.882419280968,4.667239494038715,14.540310514491118,1.3471226456829655,0.029214278417944564,-3.3719536032437243
20170712,13480.43122865169,4.309425276426875,14.627332806606372,1.3039550525407755,0.05502342894274752,-4.004096393025773
20170713,13445.416223230237,4.657168104961856,14.723141012237075,1.296311847115167,-0.13327544311627534,-3.2651506725478936
20170714,13418.021689260999,4.546919328886667,14.952362226754698,1.2982812090113274,0.13066948418860605,-3.6699053901196166
20170715,12536.077397995417,5.1653594463648975,15.36984398608801,1.272020165783338,0.22429289520935974,-3.525510494895363
20170716,12951.539998082671,5.933743845110032,15.099104589761728,1.3224751994073152,-0.22879585990026138,-3.2794070896830614
20170717,12362.87093370948,5.356079184623463,14.504189721914733,1.281110353167705,0.02615608265297367,-3.4436379435120466
20170718,12384.76609647213,4.639397162888529,15.028690432720323,1.2483737488976974,0.21246512297797962,-3.0519656465534273
20170719,12600.420746787393,5.482688772766007,15.075378858989259,1.2643816197961886,-0.3786493692485239,-3.807064287055403
20170720,12977.542266315164,4.950487942208276,14.71283376095616,1.2653284776063294,-0.10305459561634821,-3.178764448034145
20170721,12425.413692588932,5.364058646595824,15.715721356197639,1.2681140887490352,-0.15438081351023528,-3.4010718945911713
20170722,12010.796430869774,4.958731412635166,15.084915931821115,1.3245054483374747,-0.16810703714595665,-3.4554839932235586
20170723,12251.387944828299,5.547002705836795,15.371756039011938,1.323101401430682,-0.03220879646167456,-3.4348523407258975
20170724,12155.201547143646,5.531795799104226,14.865283318420449,1.3187548285743302,-0.19412474109580322,-3.54438289518113
20170725,12139.47347352969,5.258273374180541,15.558184104105083,1.3024678635003586,-0.15787236761373064,-3.273129446197869
20170726,12603.795003078132,5.752285214858828,15.75736660016894,1.2758913790535382,-0.16441155371554067,-3.8946867876860134
20170727,11614.715713450329,5.685560028540719,15.842209983415101,1.3347689781416783,-0.34110833690838877,-3.495789493135548
20170728,12039.79324688067,6.409617378115903,15.723852863466146,1.2978992001589207,-0.295731217328907,-3.8013896852727247
20170729,12030.088567195964,5.7348819333444645,16.423913887504163,1.3014589369154095,-0.26234513516124425,-3.226577112462763
20170730,12140.583004650853,6.568634987575756,16.221570352055462,1.3226552988277887,-0.25850641764408705,-3.57654472857187
20170731,12108.492780211809,5.725381151592475,16.677936936956076,1.3680520379236207,-0.4945878478378691,-3.1075281405101824
20170801,11974.519540462257,5.73337978186759,16.53282632165384,1.329514223070937,-0.39186058261757195,-3.467873500642238
20170802,12668.332970959775,5.923526482357469,16.66706739996017,1.303211140373921,-0.47240914393428224,-3.712991262735381
20170803,11898.85691684543,5.863437489527572,16.311548492402636,1.30291207825566,-0.3098091054027195,-3.995287002206568
20170804,11914.695961140333,5.927940523135483,17.11904187378866,1.3512208953728022,-0.3190525193625225,-3.8981521117187268
20170805,12035.961575880146,5.770532379320938,16.98874804776225,1.3060897047201887,-0.2717681775574743,-3.616019906046155
20170806,12268.527791171693,4.956810728908806,16.784868969620373,1.3106720818733828,-0.4499398906795245,-3.3594013927280972
20170807,11819.353385008499,5.715321899472673,17.218312979946752,1.3086840652950205,-0.21035279527688033,-2.874281792097266
20170808,10946.324438150288,5.9635505729381775,16.535225589723744,1.3126870470025724,-0.2620545577527908,-4.136373477384103
20170809,12170.1163038512,6.171713046815481,16.502913748421363,1.2672882593572854,-0.35027151549379965,-3.961109122259973
20170810,11301.319807110638,6.079824708970846,16.457257053613365,1.2544382609315687,-0.21099799090302215,-3.222240199561287
20170811,11209.69400609832,6.359320655400971,17.077667015796592,1.2445182374509727,-0.17205856401325736,-3.883589453533406
20170812,11134.433457592497,5.410868659713198,16.990074799889147,1.2622808158139067,-0.09687204450859438,-3.2750912586912317
20170813,10843.556730052533,5.218842097269702,16.555384827321816,1.2381310416206828,-0.2162353568525938,-3.512751623405543
20170814,10464.21530703336,5.794276045317793,16.338818596661262,1.2228765451024834,-0.03982353955667426,-3.652700745296401
20170815,10297.347610474686,4.9286991241042255,16.09159112450963,1.1713421740038266,-0.09365409940235725,-3.6882893370067578
20170816,10766.384845200575,4.011799736235092,16.18092438566078,1.1277491951956007,-0.05015313442362582,-4.057626157633954
20170817,10145.005928232127,4.369171787475497,15.19564221886386,1.142720840481791,-0.001305134793087186,-3.1805813771683686
20170818,10371.173912250519,4.322113299728514,15.189794156004977,1.1224724665403554,-0.2126693288016311,-3.0880598602243263
20170819,9008.29718843067,3.8839568115675727,14.68154221227079,1.1362001534131327,0.016267194035234127,-3.5404849032781787
20170820,8618.929057332934,4.016771887996207,13.603307218132766,1.1414979713714104,0.19175197749334122,-3.208038802870293
20170821,8085.386356017019,3.7987722558203676,13.994794038893806,1.0959820070275221,0.07498767316576772,-3.077101688552632
20170822,8532.702042320161,2.4659687670667316,13.223685233639138,1.0695511369480943,-0.05553851210145184,-3.3415201625890663
20170823,8442.392663887254,2.62258780372557,13.043465470307183,1.0560641705859986,0.10020113074831676,-3.8208278106184768
20170824,7693.964707131915,2.0899382108775244,12.761443527003596,1.05861392213246,0.01253091185517064,-3.5729037994000867
20170825,7857.4131936619315,2.6229133672225995,12.500160613387873,1.0232480364412588,0.12479859650640746,-3.3473717787466977
20170826,7434.257768644407,1.4805255447635668,12.85976835498511,1.0086753619381426,0.09826908143310414,-3.6366188425516977
20170827,7136.276586066314,1.7454929357146076,12.029844421180696,1.0081358854704767,0.3243872491537098,-3.6056407016604157
20170828,7082.950044125306,1.8417354566502422,11.346624519593707,0.9991037400015735,0.12834598493044194,-3.326479224853711
20170829,6615.746747090557,0.7674587467435271,11.471230161997337,0.9558063468609312,0.06881594299191213,-3.403077712630688
20170830,6881.965174297093,0.6010471553046431,11.21013636855854,0.9375112134654737,0.14817568681235613,-3.9340920521752434
20170831,6842.293782642822,0.08335283499987667,10.364420683857267,0.9566922148349013,0.05879498982791143,-4.030740666858192
20170901,6669.2017035840545,0.07796761021186567,10.423968651148687,0.9481676711527228,0.016481357993154495,-3.9457697538658936
20170902,5827.8139213993,0.24423119744788374,10.424719350458162,0.912112567007391,0.008902604832993238,-3.6916077733215964
20170903,6261.111219813978,0.2562862660279015,10.191797617554958,0.9292648640212943,0.10065435844820347,-4.171378799564139
20170904,6287.8624993683725,-0.8892335929158073,9.988601168315304,0.8888046376208031,0.10383678982962448,-3.8174506370554675
20170905,5903.968105802691,-1.0120017880085936,9.96143231300533,0.8764832025094167,0.16308045305754024,-4.571484509069135
20170906,6140.828086157714,-0.63713300797612,9.313378947944482,0.8438586459220111,0.017618979659815542,-4.447572608398543
20170907,5704.843654237682,-1.4512280859704445,9.396831373907139,0.8662829755754137,-0.06539784121463399,-4.522579328424058
20170908,5544.829923489668,-0.11483002117735802,9.42822691387776,0.8615623501470453,-0.07425934650968603,-4.437628878513555
20170909,5390.429367962114,-0.3974466626703784,9.101484225280506,0.8446106340917791,0.1931778676989316,-4.490569827273368
